order,run_id,arm,sequence,repetition,bucket_policy,stride,affinity,workers,status
1,prompt19_p0_Church_05_r1,P0,Church_05,1,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
2,prompt19_p0s_College_03_r1,P0S,College_03,1,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
3,prompt19_p0_Palace_01_r1,P0,Palace_01,1,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
4,prompt19_p0s_Quarter_01_r1,P0S,Quarter_01,1,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
5,prompt19_p0s_Church_05_r1,P0S,Church_05,1,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
6,prompt19_p0_College_03_r1,P0,College_03,1,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
7,prompt19_p0s_Palace_01_r1,P0S,Palace_01,1,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
8,prompt19_p0_Quarter_01_r1,P0,Quarter_01,1,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
9,prompt19_p0_College_03_r2,P0,College_03,2,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
10,prompt19_p0s_Church_05_r2,P0S,Church_05,2,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
11,prompt19_p0_Quarter_01_r2,P0,Quarter_01,2,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
12,prompt19_p0s_Palace_01_r2,P0S,Palace_01,2,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
13,prompt19_p0s_College_03_r2,P0S,College_03,2,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
14,prompt19_p0_Church_05_r2,P0,Church_05,2,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
15,prompt19_p0s_Quarter_01_r2,P0S,Quarter_01,2,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
16,prompt19_p0_Palace_01_r2,P0,Palace_01,2,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
17,prompt19_p0_Church_05_r3,P0,Church_05,3,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
18,prompt19_p0s_College_03_r3,P0S,College_03,3,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
19,prompt19_p0_Palace_01_r3,P0,Palace_01,3,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
20,prompt19_p0s_Quarter_01_r3,P0S,Quarter_01,3,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
21,prompt19_p0s_Church_05_r3,P0S,Church_05,3,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
22,prompt19_p0_College_03_r3,P0,College_03,3,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
23,prompt19_p0s_Palace_01_r3,P0S,Palace_01,3,native_blind_carry,2,"0,2,4,6",4,PREDECLARED
24,prompt19_p0_Quarter_01_r3,P0,Quarter_01,3,native_blind_carry,1,"0,2,4,6",4,PREDECLARED
